City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,57.06,81,75,4.61,AU,1675887011
1,albany,42.6001,-73.9662,46.67,51,10,1.99,US,1675886932
2,vaini,-21.2,-175.2,82.56,83,75,2.3,TO,1675887221
3,jacareacanga,-6.2222,-57.7528,82.62,87,24,3.24,BR,1675887636
4,salalah,17.0151,54.0924,73.49,73,0,2.3,OM,1675887379
5,yarmouth,41.7057,-70.2286,48.67,60,0,10.36,US,1675887637
6,brooks,50.5834,-111.8851,31.98,75,93,14.97,CA,1675887602
7,arraial do cabo,-22.9661,-42.0278,80.56,78,40,10.36,BR,1675887285
8,rikitea,-23.1203,-134.9692,79.5,74,46,13.69,PF,1675887218
9,majene,-3.5403,118.9707,79.2,75,100,6.98,ID,1675887637
10,tefe,-3.3542,-64.7114,87.91,70,20,4.61,BR,1675887637
11,new norfolk,-42.7826,147.0587,56.7,67,100,1.48,AU,1675887209
12,aklavik,68.2191,-135.0107,-20.2,76,75,2.3,CA,1675887344
13,whitewater,42.8336,-88.7323,45.27,57,100,7.76,US,1675887638
14,port elizabeth,-33.918,25.5701,69.31,83,100,3.0,ZA,1675887199
15,punta arenas,-53.15,-70.9167,60.91,79,100,19.57,CL,1675887176
16,east london,-33.0153,27.9116,70.81,81,100,4.56,ZA,1675887046
17,cape town,-33.9258,18.4232,73.35,66,0,13.0,ZA,1675887217
18,port alfred,-33.5906,26.891,68.18,93,100,6.38,ZA,1675887126
19,mananjary,-21.2167,48.3333,75.16,91,98,5.1,MG,1675887639
20,nanortalik,60.1432,-45.2371,30.6,83,100,9.1,GL,1675887519
21,nikolskoye,59.7035,30.7861,33.8,93,100,7.29,RU,1675887220
22,yellowknife,62.456,-114.3525,-1.91,92,13,4.41,CA,1675887166
23,qaanaaq,77.484,-69.3632,-26.21,67,16,6.2,GL,1675887294
24,san patricio,28.017,-97.5169,60.75,79,100,16.35,US,1675887238
25,saskylakh,71.9167,114.0833,-36.81,100,92,5.73,RU,1675886964
26,mokhsogollokh,61.4681,128.9203,-43.64,100,100,2.28,RU,1675887640
27,ribeira grande,38.5167,-28.7,55.8,62,20,8.01,PT,1675886983
28,mangla,31.8931,72.3817,55.22,37,35,7.65,PK,1675887641
29,malanville,11.8685,3.3899,83.95,11,98,8.84,BJ,1675887642
30,riohacha,11.5444,-72.9072,85.95,55,10,18.25,CO,1675887642
31,hilo,19.7297,-155.09,74.28,85,100,1.99,US,1675887219
32,eastlake,41.6539,-81.4504,48.34,66,0,5.75,US,1675887642
33,busselton,-33.65,115.3333,58.44,90,2,10.8,AU,1675887213
34,kruisfontein,-34.0033,24.7314,64.89,74,100,7.4,ZA,1675887288
35,hasaki,35.7333,140.8333,35.22,51,4,19.95,JP,1675887287
36,cidreira,-30.1811,-50.2056,79.5,76,0,16.13,BR,1675887173
37,staryy nadym,65.6118,72.6842,8.02,96,99,16.46,RU,1675887643
38,broome,42.2506,-75.833,46.6,53,0,6.91,US,1675887643
39,north bend,43.4065,-124.2243,52.16,81,20,0.0,US,1675887466
40,kamenka,51.3223,42.7678,4.6,98,77,5.1,RU,1675887644
41,tiksi,71.6872,128.8694,-40.2,99,56,5.77,RU,1675887455
42,igrim,63.1906,64.4162,18.77,89,54,9.93,RU,1675887644
43,mayskiy,47.6931,40.1025,15.21,89,6,11.52,RU,1675887644
44,port macquarie,-31.4333,152.9167,65.89,73,72,5.12,AU,1675887645
